# SYNTHETIC DEMO DATA ONLY - NOT HARDWARE TEST RESULTS
timestamp_ms,base_pwm_us,rpm1,rpm2,error_rpm,error_percent,correction_us,pwm1_us,pwm2_us,system_state,fault_flags
0,1000,0,0,0,0,0,1000,1000,INIT,0x0000
500,1200,2200,2100,100,4.65,0,1200,1200,MONITOR_ONLY,0x0000
1000,1300,4800,4550,250,5.35,0,1300,1300,MONITOR_ONLY,0x0000
1500,1400,7200,6800,400,5.71,0,1400,1400,MONITOR_ONLY,0x0000
2000,1400,7350,6900,450,6.32,8,1392,1408,SYNC_CONTROL,0x0000
2500,1400,7280,7040,240,3.35,12,1388,1412,SYNC_CONTROL,0x0000
3000,1400,7210,7130,80,1.12,5,1395,1405,SYNC_CONTROL,0x0000
3500,1400,7190,7160,30,0.42,0,1400,1400,SYNC_CONTROL,0x0000
4000,1500,9100,8950,150,1.66,6,1494,1506,SYNC_CONTROL,0x0000
4500,1500,9250,9190,60,0.65,0,1500,1500,SYNC_CONTROL,0x0000
5000,1000,0,0,0,0,0,1000,1000,MONITOR_ONLY,0x0000
