rpm_sync_capture,v2,t_ms=1715000,ch1_valid=1,ch1_period_us=33981,ch1_age_ms=21,ch1_raw_rpm=1766,ch1_rpm=1766,ch1_status=VALID,ch2_valid=1,ch2_period_us=37371,ch2_age_ms=17,ch2_raw_rpm=1606,ch2_rpm=1606,ch2_status=VALID
rpm_sync_capture,v2,t_ms=1716000,ch1_valid=1,ch1_period_us=34115,ch1_age_ms=33,ch1_raw_rpm=1759,ch1_rpm=1759,ch1_status=VALID,ch2_valid=1,ch2_period_us=37431,ch2_age_ms=5,ch2_raw_rpm=1603,ch2_rpm=1603,ch2_status=VALID
rpm_sync_capture,v2,t_ms=1717000,ch1_valid=1,ch1_period_us=34215,ch1_age_ms=9,ch1_raw_rpm=1754,ch1_rpm=1754,ch1_status=VALID,ch2_valid=1,ch2_period_us=37474,ch2_age_ms=31,ch2_raw_rpm=1601,ch2_rpm=1601,ch2_status=VALID
rpm_sync_capture,v2,t_ms=1718000,ch1_valid=1,ch1_period_us=34022,ch1_age_ms=20,ch1_raw_rpm=1764,ch1_rpm=1764,ch1_status=VALID,ch2_valid=1,ch2_period_us=37437,ch2_age_ms=21,ch2_raw_rpm=1603,ch2_rpm=1603,ch2_status=VALID
rpm_sync_capture,v2,t_ms=1719000,ch1_valid=1,ch1_period_us=33951,ch1_age_ms=33,ch1_raw_rpm=1767,ch1_rpm=1767,ch1_status=VALID,ch2_valid=1,ch2_period_us=37431,ch2_age_ms=11,ch2_raw_rpm=1603,ch2_rpm=1603,ch2_status=VALID
rpm_sync_capture,v2,t_ms=1720000,ch1_valid=1,ch1_period_us=34084,ch1_age_ms=12,ch1_raw_rpm=1760,ch1_rpm=1760,ch1_status=VALID,ch2_valid=1,ch2_period_us=37402,ch2_age_ms=4,ch2_raw_rpm=1604,ch2_rpm=1604,ch2_status=VALID
rpm_sync_capture,v2,t_ms=1721000,ch1_valid=1,ch1_period_us=34054,ch1_age_ms=22,ch1_raw_rpm=1762,ch1_rpm=1762,ch1_status=VALID,ch2_valid=1,ch2_period_us=37220,ch2_age_ms=35,ch2_raw_rpm=1612,ch2_rpm=1612,ch2_status=VALID
rpm_sync_capture,v2,t_ms=1722000,ch1_valid=1,ch1_period_us=34054,ch1_age_ms=444,ch1_raw_rpm=0,ch1_rpm=0,ch1_status=TIMED_OUT,ch2_valid=1,ch2_period_us=51046,ch2_age_ms=425,ch2_raw_rpm=0,ch2_rpm=0,ch2_status=TIMED_OUT
rpm_sync_capture,v2,t_ms=1723000,ch1_valid=1,ch1_period_us=34054,ch1_age_ms=1444,ch1_raw_rpm=0,ch1_rpm=0,ch1_status=TIMED_OUT,ch2_valid=1,ch2_period_us=51046,ch2_age_ms=1425,ch2_raw_rpm=0,ch2_rpm=0,ch2_status=TIMED_OUT
rpm_sync_capture,v2,t_ms=1724000,ch1_valid=1,ch1_period_us=34054,ch1_age_ms=2444,ch1_raw_rpm=0,ch1_rpm=0,ch1_status=TIMED_OUT,ch2_valid=1,ch2_period_us=51046,ch2_age_ms=2425,ch2_raw_rpm=0,ch2_rpm=0,ch2_status=TIMED_OUT
rpm_sync_capture,v2,t_ms=1725000,ch1_valid=1,ch1_period_us=34054,ch1_age_ms=3444,ch1_raw_rpm=0,ch1_rpm=0,ch1_status=TIMED_OUT,ch2_valid=1,ch2_period_us=51046,ch2_age_ms=3425,ch2_raw_rpm=0,ch2_rpm=0,ch2_status=TIMED_OUT
rpm_sync_capture,v2,t_ms=1726000,ch1_valid=1,ch1_period_us=34054,ch1_age_ms=4444,ch1_raw_rpm=0,ch1_rpm=0,ch1_status=TIMED_OUT,ch2_valid=1,ch2_period_us=51046,ch2_age_ms=4425,ch2_raw_rpm=0,ch2_rpm=0,ch2_status=TIMED_OUT
rpm_sync_capture,v2,t_ms=1727000,ch1_valid=1,ch1_period_us=34054,ch1_age_ms=5444,ch1_raw_rpm=0,ch1_rpm=0,ch1_status=TIMED_OUT,ch2_valid=1,ch2_period_us=51046,ch2_age_ms=5425,ch2_raw_rpm=0,ch2_rpm=0,ch2_status=TIMED_OUT
rpm_sync_capture,v2,t_ms=1728000,ch1_valid=1,ch1_period_us=34054,ch1_age_ms=6444,ch1_raw_rpm=0,ch1_rpm=0,ch1_status=TIMED_OUT,ch2_valid=1,ch2_period_us=51046,ch2_age_ms=6425,ch2_raw_rpm=0,ch2_rpm=0,ch2_status=TIMED_OUT
rpm_sync_capture,v2,t_ms=1729000,ch1_valid=1,ch1_period_us=34054,ch1_age_ms=7444,ch1_raw_rpm=0,ch1_rpm=0,ch1_status=TIMED_OUT,ch2_valid=1,ch2_period_us=51046,ch2_age_ms=7425,ch2_raw_rpm=0,ch2_rpm=0,ch2_status=TIMED_OUT
rpm_sync_capture,v2,t_ms=1730000,ch1_valid=1,ch1_period_us=34054,ch1_age_ms=8444,ch1_raw_rpm=0,ch1_rpm=0,ch1_status=TIMED_OUT,ch2_valid=1,ch2_period_us=51046,ch2_age_ms=8425,ch2_raw_rpm=0,ch2_rpm=0,ch2_status=TIMED_OUT
rpm_sync_capture,v2,t_ms=1731000,ch1_valid=1,ch1_period_us=34054,ch1_age_ms=9444,ch1_raw_rpm=0,ch1_rpm=0,ch1_status=TIMED_OUT,ch2_valid=1,ch2_period_us=51046,ch2_age_ms=9425,ch2_raw_rpm=0,ch2_rpm=0,ch2_status=TIMED_OUT
rpm_sync_capture,v2,t_ms=1732000,ch1_valid=1,ch1_period_us=34054,ch1_age_ms=10444,ch1_raw_rpm=0,ch1_rpm=0,ch1_status=TIMED_OUT,ch2_valid=1,ch2_period_us=51046,ch2_age_ms=10425,ch2_raw_rpm=0,ch2_rpm=0,ch2_status=TIMED_OUT
